rt_rating,fn,tid,title,wordsInTitle,url,imdbRating,ratingCount,duration,year,type,nrOfWins,nrOfNominations,nrOfPhotos,nrOfNewsArticles,nrOfUserReviews,nrOfGenre,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,FilmNoir,GameShow,History,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western,asdf,untitled,Unnamed: 46,Unnamed: 47
100,titles01/tt0088247,tt0088247,Terminator (1984),terminator,http://www.imdb.com/title/tt0088247/,8.1,413108,6420,1984,video.movie,5,6,67,3869,602,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,
96,titles01/tt0088763,tt0088763,Zurück in die Zukunft (1985),zur ck in die zukunft,http://www.imdb.com/title/tt0088763/,8.5,478445,6960,1985,video.movie,13,24,78,3628,680,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,
97,titles01/tt0089881,tt0089881,Ran (1985),ran,http://www.imdb.com/title/tt0089881/,8.3,58697,9720,1985,video.movie,28,18,25,106,220,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,
97,titles01/tt0090605,tt0090605,Aliens - Die Rückkehr (1986),aliens die r ckkehr,http://www.imdb.com/title/tt0090605/,8.5,353899,8220,1986,video.movie,16,21,95,2150,998,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,
88,titles01/tt0091763,tt0091763,Platoon (1986),platoon,http://www.imdb.com/title/tt0091763/,8.2,217699,7200,1986,video.movie,22,10,47,467,476,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,
91,titles01/tt0092005,tt0092005,Stand by Me - Das Geheimnis eines Sommers (1986),stand by me das geheimnis eines sommers,http://www.imdb.com/title/tt0092005/,8.2,198139,5340,1986,video.movie,3,10,60,903,536,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
96,titles01/tt0092067,tt0092067,Das Schloss im Himmel (1986),das schloss im himmel,http://www.imdb.com/title/tt0092067/,8.1,61387,7440,1986,video.movie,1,0,20,132,152,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
91,titles01/tt0093058,tt0093058,Full Metal Jacket (1987),full metal jacket,http://www.imdb.com/title/tt0093058/,8.4,334586,6960,1987,video.movie,7,7,53,621,621,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,
97,titles01/tt0093779,tt0093779,Die Braut des Prinzen (1987),die braut des prinzen,http://www.imdb.com/title/tt0093779/,8.2,222749,5880,1987,video.movie,5,8,71,958,662,3,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
93,titles01/tt0095016,tt0095016,Stirb langsam (1988),stirb langsam,http://www.imdb.com/title/tt0095016/,8.3,431906,7860,1988,video.movie,6,2,63,2360,667,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,
98,titles01/tt0095327,tt0095327,Die letzten Leuchtkäfer (1988),die letzten leuchtk fer,http://www.imdb.com/title/tt0095327/,8.5,85046,5340,1988,video.movie,3,0,16,156,436,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,
91,titles01/tt0095765,tt0095765,Cinema Paradiso (1988),cinema paradiso,http://www.imdb.com/title/tt0095765/,8.5,103093,9300,1988,video.movie,19,22,60,215,357,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
94,titles01/tt0096283,tt0096283,Mein Nachbar Totoro (1988),mein nachbar totoro,http://www.imdb.com/title/tt0096283/,8.3,101445,5160,1988,video.movie,5,1,39,330,273,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
88,titles01/tt0097576,tt0097576,Indiana Jones und der letzte Kreuzzug (1989),indiana jones und der letzte kreuzzug,http://www.imdb.com/title/tt0097576/,8.3,364585,7620,1989,video.movie,4,19,66,362,440,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
96,titles01/tt0099685,tt0099685,GoodFellas - Drei Jahrzehnte in der Mafia (1990),goodfellas drei jahrzehnte in der mafia,http://www.imdb.com/title/tt0099685/,8.8,515242,8760,1990,video.movie,40,23,68,1504,883,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
94,titles01/tt0101414,tt0101414,Die Schöne und das Biest (1991),die sch ne und das biest,http://www.imdb.com/title/tt0101414/,8.1,208331,5040,1991,video.movie,21,19,81,3057,310,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
96,titles01/tt0102926,tt0102926,Das Schweigen der Lämmer (1991),das schweigen der l mmer,http://www.imdb.com/title/tt0102926/,8.6,584102,7080,1991,video.movie,44,30,80,1076,798,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,
93,titles01/tt0103064,tt0103064,Terminator 2 - Tag der Abrechnung (1991),terminator tag der abrechnung,http://www.imdb.com/title/tt0103064/,8.5,523543,8220,1991,video.movie,20,19,71,855,869,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,,,
92,titles01/tt0105236,tt0105236,Reservoir Dogs - Wilde Hunde (1992),reservoir dogs wilde hunde,http://www.imdb.com/title/tt0105236/,8.4,454684,5940,1992,video.movie,11,9,72,1603,855,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,
